WKT,address,zip,city,refer,name,hours

"POINT (-76.8247234 39.23076573183413)",9189 Red Branch Rd,21045,Columbia,www.bridgeway.cc/outreach;facebook.com/BridgewayMD;twitter.com/@BridgewayMD;#410-992-5832,Community Cupboard (Bridgeway Community Church),Sat/9.30-11.30; Sun/11.30-12:30 (2nd and 4th weekend of each month)

"POINT (-76.81274121793466 39.429566578856274)",11301 Red Run Blvd,21117,Owings Mills,www.bridgeway.cc/outreach;facebook.com/BridgewayMD;twitter.com/@BridgewayMD,Community Cupboard (Bridgeway Community Church),Sat/9.30-11.30; Sun/11.30-12:30 (1st and 3rd weekend of each month)

"POINT (-76.58744411014311 39.29616496306791)",425 North Chester Street,21231,Baltimore,beagaddy.org;facebook.com/Beagaddy;#410-563-2749,Bea Gaddy Family Centers,M-F/10.00-12:00; Sat/11.00-11.30





 

